"id","coupon_name","coupon_code","coupon_type","no_of_students","create_date","expiry_date","discount_percentage","is_active","created_at","updated_at"
"1","20% OFF","ezy-1234","normal",NULL,"2026-02-10 08:52:53","2026-03-10 00:00:00","20.00","1","2026-02-10 08:52:53","2026-02-10 08:52:53"
"2","10% OFF","ezy-5648","normal",NULL,"2026-02-10 09:19:35","2026-03-10 00:00:00","20.00","1","2026-02-10 09:19:35","2026-02-10 09:19:35"
"3","10.1% OFF","ezy-5678","normal",NULL,"2026-02-10 09:20:09","2026-03-10 00:00:00","20.00","1","2026-02-10 09:20:09","2026-02-10 09:20:09"
"4","10.111% OFF","ezy-5679","normal",NULL,"2026-02-10 09:29:48","2026-03-10 00:00:00","20.00","1","2026-02-10 09:29:48","2026-02-10 09:29:48"
"5","10.1121% OFF","ezy-5689","normal",NULL,"2026-02-10 09:38:47","2026-03-10 00:00:00","20.00","1","2026-02-10 09:38:47","2026-02-10 09:38:47"
"8","10.14% OFF","ezy-1101","normal",NULL,"2026-02-11 10:53:21","2026-03-10 00:00:00","20.00","1","2026-02-11 10:53:21","2026-02-11 10:53:21"
"9","10.144% OFF","ezy-0001","normal",NULL,"2026-02-11 10:53:39","2026-03-10 00:00:00","20.00","1","2026-02-11 10:53:39","2026-02-11 10:53:39"
"10","10.1443% OFF","ezy-0002","parent","2","2026-02-12 05:08:22","2026-03-10 00:00:00","20.00","1","2026-02-12 05:08:22","2026-02-12 05:08:22"
"11","Parent coupon - 1","ezy-0003","parent","2","2026-02-12 05:09:21","2026-03-10 00:00:00","20.00","1","2026-02-12 05:09:21","2026-02-12 05:09:21"
"12","Normal coupon - 1","ezy-0004","normal",NULL,"2026-02-12 05:33:08","2026-03-10 00:00:00","20.00","1","2026-02-12 05:33:08","2026-02-12 05:33:08"
"13","Normal coupon - 2","ezy-0005","normal",NULL,"2026-02-12 05:44:20","2026-03-10 00:00:00","20.00","1","2026-02-12 05:44:20","2026-02-12 05:44:20"
"15","Normal coupon - 3","ezy-0006","normal",NULL,"2026-02-13 07:06:03","2026-03-10 00:00:00","100.00","1","2026-02-13 07:06:03","2026-02-13 07:06:03"
"16","Normal coupon - 4","ezy-0007","parent","2","2026-02-20 10:30:19","2026-03-10 00:00:00","40.00","1","2026-02-20 10:30:19","2026-02-20 10:30:19"
"17","Normal coupon - 5","ezy-0008","parent","1","2026-02-23 04:34:41","2026-03-10 00:00:00","40.00","1","2026-02-23 04:34:41","2026-02-23 04:34:41"
