"termname","weekname","subject","taskname","description","video_url"
"Term 1","Week 1","English","Types of Sentences","Types of Sentences","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1094909143?h=c687096d92&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Sentence Type Y3.mp4""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 2","English","Simple Subject and Simple Predicate",NULL,NULL
"Term 1","Week 2","English","Complete Subject and Complete Predicate",NULL,NULL
"Term 1","Week 3","English","Complete Sentences",NULL,NULL
"Term 1","Week 3","English","Fragments and Run-ons",NULL,NULL
"Term 1","Week 4","English","Simple Sentences",NULL,NULL
"Term 1","Week 4","English","Compound Sentences",NULL,NULL
"Term 1","Week 5","English","Common Nouns and Proper Nouns","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1122699722?h=36bc2704a7&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Nouns,Common Nouns and Proper Nouns Y3""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 5","English","Concrete Nouns and Abstract Nouns","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1122699329?h=d221dd1a65&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Concrete Nouns and Abstract Nouns Y3""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 6","English","Regular and Irregular Plurals","r",NULL
"Term 1","Week 6","English","Singular and Plural Possessives","r",NULL
"Term 1","Week 7","English","Subject and Object Personal Pronouns","a","<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1122699298?h=6ae68919a8&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Subject and Object Personal Pronouns Y3""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 7","English","Possessive Pronouns and Reflexive Pronouns","a","<div style=""padding:75% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/1122698652?h=31a7d00a65&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture; clipboard-write; encrypted-media; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Possessive &amp; Reflexive Pronouns""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>"
"Term 1","Week 8","English","Action Verbs","r",NULL
"Term 1","Week 8","English","Main Verbs and Helping Verbs","r",NULL
"Term 1","Week 9","English","Singular and Plural Subjects","r",NULL
